@relation VSData2_classFromCplus

@attribute UserId numeric
@attribute AvgRatio numeric
@attribute PercentageOfOpenedDiscussion numeric
@attribute PercentageOfReplies numeric
@attribute PercentageOfWikiEntries numeric
@attribute PercentageOfAssignCompletion numeric
@attribute RatioOfVisitPerWeek numeric
@attribute PercentageOfVisitOfStudent numeric
@attribute PercentagOfAccessedResource numeric
@attribute PercentageOfLateAccess numeric
@attribute SkewOfAccessResource numeric
@attribute Student {Warn,Good}

@data
393,0.9704,0,2,0,100,0.0155,1.5452,84,75,3.07547,Good
394,0.981,0,2,1,100,0.0107,1.0711,79,37,3.528661,Warn
396,0.9846,0,2,0,75,0.0284,2.8446,77,61,1.01649,Warn
398,0.9494,0,3,3,75,0.0142,1.4223,20,33,1.416133,Good
399,0.7522,14,1,0,100,0.0123,1.2291,86,47,1.052495,Good
400,1.0397,0,4,3,75,0.0297,2.9675,86,92,3.876187,Good
402,1.0032,0,3,0,100,0.0176,1.7559,93,70,1.670184,Good
403,1.0748,0,2,2,100,0.0211,2.1071,95,92,2.801021,Good
405,1.0041,0,3,1,100,0.0242,2.4232,84,81,2.590681,Good
409,1.0462,0,2,1,100,0.0279,2.7919,93,95,3.177046,Good
413,1.0571,0,3,0,100,0.0472,4.7234,90,72,2.47036,Good
414,1.0706,0,2,4,100,0.0172,1.7208,81,91,3.600441,Good
415,1.015,0,2,5,100,0.0188,1.8788,88,92,2.256842,Good
416,0.9956,14,2,0,100,0.0191,1.914,59,76,3.00855,Good
2389,0.6503,4,0,0,20,0.0186,1.8581,94,93,3.52192,Warn
2390,1.0041,3,1,1,100,0.0127,1.2749,53,17,1.589818,Good
2391,1.0812,2,5,16,80,0.0538,5.3845,100,51,1.541459,Good
2392,1.0179,1,2,3,80,0.0559,5.588,82,72,2.703204,Good
2396,1.0006,0,7,0,80,0.0282,2.8211,94,87,3.668097,Good
2397,1.0046,2,1,2,100,0.0165,1.6547,75,51,2.432988,Good
2398,1.0502,2,2,1,80,0.04,4.0011,98,64,2.856166,Good
2399,1.1486,5,1,7,100,0.0441,4.408,80,85,3.415325,Good
2434,1.1612,1,5,0,100,0.0213,2.1294,71,83,2.089191,Good
2435,0.9917,2,4,3,100,0.0327,3.2687,94,18,3.335391,Good
2436,1.1323,3,2,12,100,0.0332,3.3229,96,86,3.410199,Good
2438,1.1433,4,2,0,80,0.0726,7.2562,98,15,3.014273,Good
2439,0.8304,1,5,0,100,0.014,1.397,73,68,2.761739,Good
2441,0.9887,1,5,0,100,0.0172,1.7225,71,64,3.269093,Good
2442,0.9325,2,4,6,80,0.0274,2.7397,96,98,3.638496,Good
2443,0.9019,4,1,1,80,0.0339,3.3908,78,78,3.386182,Good
2444,1.1382,4,1,3,80,0.0165,1.6547,90,27,3.039081,Good
2445,0.965,2,2,0,80,0.0227,2.265,96,88,3.691459,Warn
2447,0.8597,1,4,1,80,0.0186,1.8581,46,70,3.44551,Warn
2448,0.8277,1,4,1,60,0.0178,1.7768,53,67,3.568388,Warn
2449,1.0449,2,2,1,60,0.0214,2.143,51,44,0.828984,Good
2450,1.0886,5,0,3,80,0.0378,3.7841,96,66,1.415127,Good
2451,1.1752,3,2,5,100,0.0347,3.4721,96,98,1.992015,Good
2452,1.1527,2,1,0,80,0.0241,2.4142,96,98,2.779878,Good
2453,1.0931,4,1,2,100,0.0499,4.9912,96,98,3.788162,Good
2455,0.9483,2,2,0,80,0.0368,3.6756,82,81,2.50342,Warn
2459,1.069,2,2,3,80,0.0237,2.3735,63,42,2.026247,Good
2460,1.1253,2,4,1,80,0.0283,2.8347,98,37,1.957326,Good
2403,1.0451,0,4,3,100,0.0481,4.808,71,32,1.336153,Good
2404,0.9909,0,4,5,100,0.0307,3.0725,69,18,0.686055,Good
2405,1.0498,0,5,1,100,0.0387,3.8691,87,2,3.516906,Good
2406,1.0385,10,2,1,100,0.0165,1.6501,84,12,1.358258,Good
2407,0.9039,5,3,0,100,0.0211,2.1053,84,15,3.649047,Good
2408,1.0058,0,4,4,100,0.0307,3.0725,79,16,1.466318,Good
2409,0.9488,5,2,0,100,0.0299,2.9872,84,90,3.724382,Good
2410,1.0554,0,4,3,100,0.0296,2.9587,89,82,1.959923,Good
2412,0.9613,5,2,2,75,0.0279,2.7881,79,25,0.748036,Good
2413,1.0385,0,4,11,100,0.0302,3.0156,84,6,1.357483,Good
2415,0.8539,5,2,0,50,0.0083,0.825,38,6,1.783416,Good
2416,0.9314,5,1,0,75,0.0145,1.4509,89,17,0.870305,Good
2417,1.0918,10,2,8,100,0.0464,4.6373,94,32,2.336453,Good
2418,1.0217,0,4,4,100,0.0393,3.926,89,20,0.494157,Good
2419,1.0357,5,3,4,100,0.0128,1.2802,89,31,1.173691,Good
2420,1.06,0,4,7,100,0.0475,4.7511,92,19,1.957316,Good
2421,0.974,5,3,3,100,0.0228,2.276,89,88,3.659469,Good
2422,1.0797,0,4,1,100,0.0432,4.3243,94,0,3.828767,Good
2423,0.9114,0,4,2,100,0.0228,2.276,92,86,3.759394,Good
2424,0.96,0,4,1,100,0.039,3.8976,92,16,0.544155,Good
2425,0.9453,5,1,0,75,0.0188,1.8777,89,5,3.231761,Good
2427,0.9543,5,2,1,75,0.0376,3.7553,94,16,2.121938,Good
2428,0.9976,0,4,2,75,0.033,3.3001,82,0,1.810777,Good
2429,1.0675,10,2,5,100,0.0376,3.7553,94,70,1.639264,Good
2430,0.9675,5,3,4,100,0.0367,3.67,84,84,3.390424,Good
2431,1.0572,0,4,2,100,0.0233,2.3329,92,88,3.742989,Good
2432,1.0395,0,5,2,100,0.0253,2.532,74,0,3.223075,Good
2433,0.975,5,2,3,100,0.0125,1.2518,71,0,2.72277,Good
2466,1.0709,0,3,2,100,0.029,2.9018,94,29,3.308308,Good
56,1.0647,10,2,2,100,0.0606,6.0597,92,77,3.79206,Good
641,0.9301,0,4,0,100,0.0228,2.276,58,73,2.868032,Warn
2393,0,0,0,0,0,0.0347,3.4698,91,88,2.551362,Warn
348,0,0,0,0,0,0.0089,0.8946,79,21,2.6289,Warn
352,0,0,0,0,100,0.0149,1.4909,89,88,2.356611,Warn
3951,1.074,4,2,4,100,0.0336,3.3613,76,77,3.288522,Good
3952,0.9584,2,2,0,100,0.0144,1.4367,67,72,3.623573,Warn
3954,0.898,0,5,0,100,0.0331,3.3071,55,78,3.343999,Good
3955,1.0527,4,2,7,100,0.0369,3.6866,88,38,1.849739,Good
3956,0.8519,2,0,0,100,0.0141,1.4096,38,43,1.583659,Warn
3957,1.1714,4,2,3,100,0.0293,2.9276,94,67,3.062827,Good
3958,1.1288,6,0,11,100,0.0225,2.2499,55,87,2.613636,Good
3960,0.9858,4,2,0,100,0.0114,1.1385,8,60,2.722189,Good
3961,0.9493,4,2,0,100,0.0152,1.518,69,85,2.842728,Good
3962,1.1039,2,2,4,100,0.0263,2.6294,50,93,3.619043,Good
3963,0.9868,2,2,7,50,0.0388,3.8764,69,82,3.397786,Good
3965,1.0436,4,5,0,100,0.1125,11.2497,59,37,1.657525,Good
3966,1.0101,9,0,13,100,0.013,1.3012,37,63,2.996215,Good
3967,0.861,2,5,1,100,0.0125,1.247,76,66,2.949519,Good
3968,1.0265,0,5,0,50,0.0119,1.1927,47,67,2.269351,Good
3969,0.8625,2,2,0,100,0.0168,1.6807,91,96,3.958125,Good
3970,1.1014,4,2,0,100,0.013,1.3012,88,96,3.019513,Good
3971,0.6922,0,5,0,100,0.016,1.5993,93,96,3.629931,Warn
3972,0.8909,0,5,0,100,0.0347,3.4698,67,97,3.59086,Warn
3973,1.0649,2,5,0,100,0.0255,2.5481,66,58,2.383127,Good
3975,1.1014,6,2,2,100,0.1488,14.8821,96,24,1.618734,Good
3977,0.9462,4,2,0,100,0.0209,2.0873,89,84,3.689048,Good
3979,1.2566,9,0,3,100,0.0344,3.4427,84,46,2.840514,Good
3980,0.9939,2,0,3,0,0.0041,0.4066,15,11,3.762099,Warn
3983,1.1105,6,2,17,100,0.0203,2.0331,93,96,3.714216,Good
3984,0.7507,0,0,0,100,0.0103,1.0301,32,78,3.038486,Good
3989,0.9158,2,5,0,100,0.0179,1.7891,89,96,2.505485,Good
3995,1.071,0,8,0,100,0.0149,1.4909,71,90,2.647984,Good
3997,1.0071,4,5,18,100,0.0098,0.9759,84,96,3.90833,Good
348,0.4694,0,4,0,16,0.0128,1.28,68,97,2.631747,Warn
353,0.9696,2,2,0,66,0.0195,1.947,95,98,3.621533,Warn
3951,1.1639,2,4,5,50,0.0723,7.2291,96,37,2.568799,Good
3952,0.9725,5,2,0,66,0.0135,1.3521,90,94,3.905083,Warn
3954,1.0777,2,4,0,66,0.0337,3.3712,81,84,3.150806,Good
3955,1.1502,5,2,11,50,0.0375,3.7498,90,94,3.478757,Good
3957,0.9307,5,2,6,50,0.0386,3.8579,96,62,2.62951,Good
3958,1.0264,5,4,0,50,0.0261,2.614,82,98,2.527672,Good
3961,1.069,2,2,1,50,0.0393,3.9301,67,65,1.541587,Good
3962,1.0707,2,2,11,66,0.0353,3.5334,50,81,3.525898,Good
3963,1.0239,0,6,4,66,0.042,4.2005,98,93,1.823993,Warn
3965,1.0438,2,4,6,33,0.0588,5.8771,71,47,1.371987,Good
3966,1.0076,8,0,2,50,0.0211,2.1092,35,47,2.717249,Good
3967,0.9916,0,6,1,50,0.016,1.6045,70,48,1.197075,Good
3969,1.1508,5,2,0,66,0.0467,4.6692,96,54,2.224137,Good
3970,0.8805,2,4,2,50,0.0261,2.614,95,95,3.391502,Good
3971,1.0212,2,4,2,50,0.0243,2.4337,89,94,2.472094,Warn
3972,1.1734,2,6,11,66,0.0656,6.5621,73,82,3.490584,Good
3973,0.9699,2,4,1,50,0.0306,3.0647,87,83,2.837353,Good
3975,1.0528,2,4,3,66,0.0979,9.7891,82,35,0.574861,Good
3977,1.0659,2,4,1,50,0.0398,3.9841,84,51,3.058508,Good
3979,0.9288,5,2,2,50,0.0373,3.7317,93,98,3.655125,Good
3983,1.0568,2,4,15,50,0.0315,3.1549,92,96,3.479965,Good
3984,1.0856,8,0,4,66,0.0178,1.7847,98,96,3.845895,Good
3989,1.0642,5,0,1,66,0.0224,2.2354,85,74,1.759375,Good
3995,1.0638,2,4,3,50,0.0294,2.9385,78,76,2.013742,Good
42,0.8359,0,4,0,33,0.0079,0.7932,26,94,3.175311,Warn
451,0,0,0,0,0,0.0023,0.2344,78,100,3.696876,Warn
3857,0.957,0,3,5,100,0.0335,3.3484,97,90,2.339261,Good
3858,1.0036,0,5,3,100,0.038,3.8019,88,100,2.90325,Good
3859,1.0095,8,1,0,100,0.0181,1.8137,90,100,3.136114,Good
3860,1.046,0,5,8,100,0.0405,4.046,97,90,1.51083,Good
3862,1.0349,0,5,1,100,0.0272,2.7206,92,97,1.685173,Good
3863,1.05,8,3,4,100,0.0303,3.0345,97,95,2.519852,Good
3865,0.9319,0,5,2,100,0.0607,6.0691,80,97,2.986988,Warn
3866,0.9945,16,1,14,100,0.0516,5.1622,92,94,3.270051,Good
3868,0.9945,0,5,4,100,0.0398,3.9763,85,100,3.289356,Good
3869,1.0561,0,5,3,100,0.0677,6.7667,97,95,3.669758,Good
3870,1.0561,25,0,2,100,0.0499,4.9878,85,97,3.524965,Good
3871,1.0359,8,3,11,100,0.1207,12.0684,95,100,2.324746,Good
3872,0.9522,0,1,4,100,0.0283,2.8253,95,97,3.429566,Good
3873,0.9874,0,7,3,100,0.0202,2.023,69,93,2.427194,Good
3876,1.0571,0,5,2,100,0.0446,4.4646,92,92,2.958588,Good
3877,0.9874,0,7,11,100,0.0492,4.918,97,97,3.619723,Good
3878,1.047,8,3,2,100,0.0255,2.5462,97,82,2.113359,Good
3883,0.9439,0,5,0,66,0.0192,1.9184,92,94,3.728336,Good
3884,1.0642,25,0,0,100,0.0419,4.1856,97,90,2.4101,Good
3894,1.0339,0,5,4,100,0.0255,2.5462,64,62,2.57958,Warn
3895,0.9228,0,3,2,100,0.0234,2.3369,38,75,2.047143,Good
