@relation StudentData

@attribute PercentageOfOpenedDiscussion numeric
@attribute PercentageOfReplies numeric
@attribute PercentageOfWikiEntries numeric
@attribute PercentageOfAssignCompletion numeric
@attribute PercentageOfVisitOfStudent numeric
@attribute PercentagOfAccessedResource numeric
@attribute cluster {0,1}

@data
3,4,0,25,1.9654,95,0
2,2,0,50,3.8631,97,0
0,5,8,100,4.046,97,1
8,3,2,100,2.5462,97,1
0,4,3,100,4.808,71,1
5,1,4,83,3.618,80,1
8,3,4,100,3.0345,97,1
0,2,2,100,5.0571,88,1
0,2,5,75,1.6155,75,1
0,5,1,100,3.8691,87,1
3,2,4,50,1.6605,61,0
2,2,3,80,2.3735,63,1
0,2,5,100,1.8788,88,1
1,1,0,80,3.9702,97,1
0,5,3,100,6.7667,97,1
25,0,2,100,4.9878,85,1
0,5,2,100,4.4646,92,1
2,1,4,100,1.9718,60,1
0,4,3,100,2.9587,89,1
2,0,0,100,2.3981,82,1
0,4,2,100,2.3329,92,1
1,6,8,100,6.4137,92,1
5,2,3,83,5.427,64,1
0,5,5,100,3.6364,47,1
0,4,7,100,4.7511,92,1
3,2,3,25,4.5578,85,0
25,0,0,100,4.1856,97,1
3,2,7,50,2.2535,52,0
2,5,16,80,5.3845,100,1
3,1,1,100,2.1316,88,1
0,2,5,75,1.7559,43,0
10,2,2,100,6.0597,92,1
4,3,2,83,3.9352,92,1
4,4,7,100,2.4518,77,1
0,5,3,100,5.0413,81,1
10,2,5,100,3.7553,94,1
0,2,0,75,2.669,77,1
0,3,3,100,2.4056,88,1
5,0,3,80,3.7841,96,1
9,4,2,100,3.1956,89,1
2,1,1,80,0.7194,74,1
1,3,0,83,3.759,92,1
0,3,2,100,2.9018,94,1
3,2,0,25,4.7272,97,0
14,2,0,100,1.5803,68,1
14,2,0,75,3.1958,70,1
8,0,8,83,8.6691,76,1
4,1,2,100,4.9912,96,1
4,3,13,83,8.4107,95,1
4,4,2,80,2.2314,68,1
0,4,3,75,2.9675,86,1
13,1,11,100,8.4298,68,1
9,4,10,100,5.0689,81,1
0,4,1,100,4.3243,94,1
2,1,5,100,4.4764,85,1
5,2,11,50,3.7498,90,0
5,2,0,66,4.6692,96,1
0,2,1,100,2.7919,93,1
3,6,5,25,1.508,78,0
4,5,7,100,2.3967,77,1
2,0,4,100,2.4247,82,1
0,5,1,100,5.2617,79,1
10,2,8,100,4.6373,94,1
0,2,4,100,2.2651,61,1
9,2,5,100,5.5096,81,1
0,5,1,100,3.719,91,1
3,2,3,50,3.592,97,0
0,2,4,75,2.7744,45,0
4,4,1,100,3.3058,72,1
3,4,8,50,2.389,90,0
2,4,5,50,7.2291,96,0
0,3,0,100,4.7234,90,1
4,1,0,100,1.9185,68,1
2,0,3,100,1.5454,94,1
14,1,3,100,1.7032,86,1
14,2,2,100,5.4434,72,1
2,6,11,66,6.5621,73,0
0,2,11,100,5.7068,93,1
2,4,1,80,2.8347,98,1
0,2,0,100,4.6356,77,1
4,1,0,100,1.7053,68,1
0,2,4,100,1.7208,81,1
3,2,12,100,3.3229,96,1
0,2,2,100,2.1071,95,1
4,2,7,50,1.4741,97,0
0,3,0,100,1.791,75,1
4,1,3,80,1.6547,90,1
2,4,3,50,2.0332,85,0
4,2,0,80,7.2562,98,1
0,3,3,75,2.4583,90,1
5,1,7,100,4.408,80,1
0,2,3,100,2.9148,95,1
2,1,0,80,2.4142,96,1
3,0,6,100,3.6771,94,1
3,0,5,25,4.5069,80,0
1,5,0,100,2.1294,71,1
2,6,1,25,6.3029,100,0
2,1,3,100,2.1316,82,1
3,2,5,100,3.4721,96,1
3,2,4,25,2.6771,90,0
3,1,0,100,1.4921,74,1
4,0,0,100,3.9169,77,1
3,7,0,100,4.0501,97,1
3,0,0,100,1.1724,94,1
2,1,1,100,1.652,45,1
